Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
Property 0,A nice property,57 Lac,5797762,Hyderabad,984 sqft,Ready,21,Ready to Move,Unfurnished,North,Park,Society 26,5.0,,0.0,Leasehold,5601 sqft,NA,3891 sqft
Property 1,A nice property,1.4 Cr,13839685,Mumbai,3421 sqft,Ready,Ground,Under Construction,Semi-Furnished,North,Main Road,NA,5.0,,2.0,Freehold,1449 sqft,NA,609 sqft
Property 2,A nice property,69 Lac,6968093,Jaipur,3722 sqft,Resale,25,Ready to Move,Unfurnished,South,Main Road,NA,,,,Leasehold,2571 sqft,NA,3490 sqft
Property 3,A nice property,26 Lac,2652532,Ahmedabad,4896 sqft,Resale,25,Under Construction,Semi-Furnished,North,NA,Society 36,3.0,0.0,3.0,Freehold,1558 sqft,NA,710 sqft
Property 4,A nice property,64 Lac,6495911,Ahmedabad,3211 sqft,Resale,25,Under Construction,Furnished,West,Main Road,NA,1.0,1.0,3.0,Freehold,1707 sqft,NA,1484 sqft
Property 5,A nice property,61 Lac,6166514,Pune,4010 sqft,Under Construction,11,Under Construction,Semi-Furnished,South,NA,Society 19,2.0,1.0,2.0,Leasehold,2006 sqft,NA,NA
Property 6,A nice property,72 Lac,7221232,Hyderabad,3944 sqft,Under Construction,Ground,Ready to Move,Semi-Furnished,South,Park,Society 34,3.0,,3.0,Leasehold,3865 sqft,NA,NA
Property 7,A nice property,54 Lac,5414563,Vadodara,1822 sqft,Ready,Ground,Ready to Move,Semi-Furnished,North,Main Road,Society 2,3.0,2.0,3.0,Leasehold,3622 sqft,NA,556 sqft
Property 8,A nice property,82 Lac,8249655,Delhi,3056 sqft,Under Construction,10,Ready to Move,Semi-Furnished,East,Main Road,Society 2,3.0,1.0,,Leasehold,5771 sqft,NA,500 sqft
Property 9,A nice property,59 Lac,5981058,Ghaziabad,3683 sqft,Ready,23,Ready to Move,Unfurnished,East,Park,Society 34,2.0,0.0,1.0,Freehold,4310 sqft,NA,2098 sqft
Property 10,A nice property,31 Lac,3124900,Surat,2106 sqft,Under Construction,4,Ready to Move,Semi-Furnished,East,Park,Society 38,5.0,0.0,3.0,Leasehold,3232 sqft,NA,1759 sqft
Property 11,A nice property,1.2 Cr,11539891,Bangalore,4479 sqft,Resale,12,Under Construction,Unfurnished,South,NA,Society 37,1.0,3.0,1.0,Leasehold,3875 sqft,NA,3754 sqft
Property 12,A nice property,1.2 Cr,11798763,Mumbai,2574 sqft,Ready,Ground,Ready to Move,Semi-Furnished,West,Main Road,NA,3.0,2.0,,Freehold,760 sqft,NA,NA
Property 13,A nice property,65 Lac,6566508,Delhi,2446 sqft,Resale,17,Ready to Move,Unfurnished,West,NA,Society 41,2.0,0.0,2.0,Leasehold,2479 sqft,NA,NA
Property 14,A nice property,31 Lac,3168921,Kolkata,3063 sqft,Resale,25,Ready to Move,Semi-Furnished,West,Park,Society 5,2.0,0.0,1.0,Freehold,1169 sqft,NA,1766 sqft
Property 15,A nice property,69 Lac,6997543,Ahmedabad,1782 sqft,Resale,11,Under Construction,Furnished,North,Main Road,Society 1,3.0,0.0,,Leasehold,1774 sqft,NA,2061 sqft
Property 16,A nice property,75 Lac,7568075,Kochi,4393 sqft,Resale,Ground,Under Construction,Semi-Furnished,East,Main Road,Society 38,3.0,0.0,1.0,Leasehold,2440 sqft,NA,1077 sqft
